Object,Star,Star_type,Mass (M?),Radius (R?),Flux,Planet_Temp(K),Period (days),Distance(ly),Refs_Notes,Distance_mother_star(AU),Tem_Star(K),Absolute_magnitud,Radio_Star(m),Albedo,Solar_Flux (W/m^2),Star_radio(AU),Distance_Star_planet(m),Produc_Entropy,Planet_Diameter (m)
Kepler-1606b,Kepler-1606,G?V,,2.07,1.41,277,196.4,2710,[32],,5422,-6.488414826,26375.94,1,3808.148065,0.008815488,0,,26375.94
Kepler-1090b,Kepler-1090,K0V,,2.25,1.2,267,198.7,2800,[1],,5321,-6.66947569,28669.5,1,4173.238006,0.009582052,0,,28669.5
Kepler-61b,Kepler-61,K7V,,2.15,1.39,273,59.9,1092,[1][33],0.26,4017,-5.396519062,441960000,0.339082569,128.8525829,0.002954278,39000000000,1.54864,27395.3
Kepler-443b,Kepler-443,K3V,,2.35,0.89,247,177.7,2615,[1],0.495,4723,-5.553867867,494160000,0.328084855,307.841262,0.003303209,74250000000,1.13925,29943.7
Kepler-22b,Kepler-22,G5V,,2.38,1.1,261,289.9,635,[1][35],0.849,5518,-5.499885999,681384000,0.304351359,1090.512177,0.004554706,1.27E+11,1.33367,30325.96
LHS 1140 b,LHS 1140,M4V,6.98,1.73,0.5,214,24.7,49,Confirmed to be rocky[36][37],0.0875,3216,-5.086697138,148874400,0.393696369,6.006535947,0.00099515,13125000000,0.760763,22043.66
Kepler-62e,Kepler-1552,K?V,0.113,0.144,1.1,261,184.8,2507,,0.427,5202,-0.231061976,542880000,0.649044638,546.775376,0.003628877,64050000000,1.55433,1834.848
K2-9b,K2-9,M2V,,2.25,1.45,279,18.4,270,[1][38],0.091,3390,-5.245453067,215760000,0.269395881,15.57616473,0.001442246,13650000000,1.61618,28669.5
Gliese 180 c*,Gliese 180,M2V,6.4,,0.78,239,24.3,39,Not confirmed[1][39],0.129,"3,634",,294338400,0.678292888,38.27836799,0.001967503,19350000000,2.48815,0
Kepler-1632b,Kepler-1632,F?V,,2.47,1.27,270,448.3,2337,,,6137,-6.872047865,828240000,1,2465.226156,0.005536364,0,,31472.74
Kepler-298d,Kepler-298,K5V,,2.5,1.29,271,77.5,1689,[1],0.305,4465,-5.6143776,403680000,0.306510801,164.0892731,0.002698396,45750000000,1.49709,31855
HD 40307 g*,HD 40307,K2V,7.09,2.39,0.67,226,197.8,42,Not confirmed[1][40],0.6,4977,-5.929347173,498336000,0.44824745,386.0423571,0.003331123,90000000000,0.903546,30453.38
K2-288Bb,K2-288Ã‚Â B,M3V,,1.91,0.44,207,31.4,214,,0.164,3341,-5.470307306,222720000,0.459865626,20.73529945,0.00148877,24600000000,0.517334,24337.22
Gliese 3293 d,Gliese 3293,M2V,7.6,,0.59,223,48.1,66,[1],0.1939,3466,,292320000,0.325057221,31.24288753,0.001954011,29085000000,0.839517,0
